flow_duration_ms,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,packet_length_mean,packet_length_std,iat_mean_ms,iat_std_ms,fwd_bwd_byte_ratio,active_flows_count,unique_dst_ports,ttl_mean,ttl_variance,tcp_win_mean,tcp_win_min,flag_syn_ratio,flag_ack_ratio,flag_fin_ratio,flag_rst_ratio,fragment_flag_count,retransmission_count,infil_label,stage_label
0.22111863,-0.039630465,-0.03963048,-0.13989899,-0.13989896,-0.30052227,-0.013827938,1.3162009,0.6817917,0.0,-0.2857143,0.7692308,-0.33357987,0.20980524,-0.88122636,0.0,-0.16250777,0.4815676,0.08551382,3.2784994,0.0,0.6,1.0,3
-0.11303377,-0.13710001,-0.13710001,-0.13778065,-0.13778062,-0.10798077,0.08238555,0.7423273,0.59837484,0.0,-0.44285715,-0.115384616,0.11992294,-0.13851042,0.31493255,0.0,-0.14354134,0.39270824,-0.5255973,0.7952048,0.0,-0.1,1.0,3
0.09915179,1.186772,1.1867721,0.12423716,0.12423716,-0.4598162,0.7356057,0.09483187,0.38552323,0.0,-0.028571429,0.03846154,0.0040881447,-0.014578679,-0.07557268,0.0,0.13689086,0.25829923,0.6529741,1.1688311,0.0,0.3,1.0,3
-0.27319992,-0.02945508,-0.029455082,-0.21471293,-0.2147129,-0.58487916,0.14830016,0.09556231,0.5726258,0.0,-0.55,-0.26923078,-0.6645263,0.44528338,-0.23191175,0.0,-0.055180073,0.3528599,1.1567557,0.86233765,0.0,1.8,1.0,3
0.43819955,-0.05837461,-0.058374625,-0.053973928,-0.053973906,0.06349634,-0.0653481,1.9586198,0.4437486,0.0,0.21428572,0.6923077,-0.47586116,0.35430688,-0.31603897,0.0,0.12403907,0.097734794,0.36629456,1.1807652,0.0,0.3,1.0,3
0.18093573,10.408891,10.40889,4.8571362,4.8571362,-0.15509307,16.921967,-0.13258266,0.5026311,0.0,-0.092857145,0.3846154,0.4728289,-0.5085545,0.5820008,9.93268,0.027156532,0.39270824,0.32055658,-0.15584415,0.0,-0.1,1.0,3
0.20513315,0.07551212,0.07551211,0.10886072,0.10886074,0.2834988,0.53627765,0.92780876,0.649929,0.0,-0.20714286,0.15384616,0.57972777,-0.89818054,0.5734863,9.927705,-0.40907133,0.6854213,-0.5255973,-0.15584415,0.0,-0.1,1.0,3
-0.1469042,-0.33257464,-0.33257464,-0.17358813,-0.1735881,1.0898273,0.13145354,2.8155637,0.96431905,0.0,-0.54285717,-0.42307693,0.28009605,-0.3886521,0.17339063,0.0,0.17651713,0.039884485,-0.5255973,1.3896104,0.0,0.1,1.0,3
-0.1777383,-0.15477306,-0.15477306,-0.10132359,-0.10132355,0.13901488,0.26398355,0.57561696,0.16288504,0.0,-0.2642857,0.0,-0.59498197,0.4457294,-0.31464785,0.0,0.043524772,0.28702214,1.131937,1.1990749,0.0,1.3,1.0,3
-0.19526444,-0.31918597,-0.31918597,-0.2517169,-0.25171688,-0.44455406,-0.07797791,1.8417224,1.3212287,0.0,-0.60714287,-0.42307693,-0.10064312,0.07869092,0.46435538,0.0,0.11250545,0.2045356,0.32055658,0.31968033,0.0,0.2,1.0,3
-0.38753462,-0.124246895,-0.12424687,0.24166614,0.24166617,1.697864,3.7643824,-0.17658257,-0.4785201,0.0,-0.5642857,-0.26923078,-0.20803787,0.15639871,-0.17541023,0.0,0.17651713,0.19277477,0.50565267,1.0032468,0.0,0.6,1.0,3
